x-coord,y-coord,width,lat.inc,speed,z-coord,,,
-0.000250264,4.882220339,12.00022602,0.006584679,0,-0.032147855,,,
-1.000247109,4.881233981,12.00021642,0.00645669,0,-0.034700915,,,
-2.000243984,4.880247311,12.00020681,0.006327301,0,-0.037225418,,,
-3.000240919,4.879260016,12.00019718,0.006195113,0,-0.039692807,,,
-4.000237944,4.878271783,12.00018751,0.006058724,0,-0.042074524,,,
-5.00023509,4.8772823,12.0001778,0.005916736,0,-0.044342012,,,
-6.000232386,4.876291255,12.00016803,0.005767748,0,-0.046466714,,,
-7.000229863,4.875298335,12.00015819,0.005610361,0,-0.048420072,,,
-8.000227552,4.874303227,12.00014828,0.005443174,0,-0.05017353,,,
-9.000225481,4.873305619,12.00013828,0.005264787,0,-0.05169853,,,
-10.00022368,4.872305199,12.00012817,0.0050738,0,-0.052966515,,,
-11.00022217,4.871301705,12.00011796,0.004869327,0,-0.053957453,,,
-12.00022095,4.87029508,12.00010768,0.004652548,0,-0.054685727,,,
-13.00021997,4.869285319,12.00009735,0.004425166,0,-0.055174403,,,
-14.00021924,4.868272418,12.00008703,0.004188885,0,-0.055446546,,,
-15.00021871,4.867256371,12.00007674,0.003945408,0,-0.055525222,,,
-16.00021837,4.866237174,12.00006653,0.003696437,0,-0.055433497,,,
-17.0002182,4.865214823,12.00005643,0.003443676,0,-0.055194435,,,
-18.00021817,4.864189311,12.00004648,0.003188828,0,-0.054831103,,,
-19.00021827,4.863160635,12.00003672,0.002933596,0,-0.054366567,,,
-20.00021846,4.862128789,12.00002717,0.002679682,0,-0.053823891,,,
-21.00021872,4.861093749,12.00001793,0.002429657,0,-0.053231332,,,
-22.00021899,4.860055409,12.00000918,0.002189624,0,-0.052638343,,,
-23.00021919,4.859013645,12.00000116,0.001966591,0,-0.052099786,,,
-24.00021926,4.857968331,11.99999412,0.001767565,0,-0.051670526,,,
-25.00021913,4.85691934,11.99998828,0.001599554,0,-0.051405427,,,
-26.00021872,4.855866547,11.99998389,0.001469565,0,-0.051359351,,,
-27.00021796,4.854809827,11.99998119,0.001384606,0,-0.051587162,,,
-28.0002168,4.853749054,11.99998041,0.001351682,0,-0.052143725,,,
-29.00021514,4.852684103,11.99998178,0.001377803,0,-0.053083902,,,
-30.00021293,4.851614847,11.99998555,0.001469976,0,-0.054462558,,,
-31.00021013,4.850541231,11.99999182,0.001631234,0,-0.056309634,,,
-32.00020683,4.849463488,12.00000009,0.001848218,0,-0.058552253,,,
-33.00020315,4.848381926,12.00000973,0.00210334,0,-0.061091018,,,
-34.00019922,4.847296853,12.00002011,0.002379012,0,-0.063826536,,,
-35.00019516,4.846208575,12.00003058,0.002657646,0,-0.066659412,,,
-36.0001911,4.845117402,12.00004051,0.002921656,0,-0.069490251,,,
-37.00018717,4.844023639,12.00004927,0.003153452,0,-0.072219659,,,
-38.00018349,4.842927596,12.00005622,0.003335447,0,-0.07474824,,,
-39.00018019,4.841829579,12.00006071,0.003450053,0,-0.076976601,,,
-40.00017738,4.840729896,12.00006213,0.003479682,0,-0.078805347,,,
-41.00017518,4.839628784,12.00006004,0.003411382,0,-0.08016077,,,
-42.00017353,4.838526183,12.00005494,0.003251506,0,-0.081076096,,,
-43.00017235,4.837421958,12.00004756,0.003011427,0,-0.081612371,,,
-44.00017158,4.836315971,12.00003864,0.002702521,0,-0.081830642,,,
-45.00017114,4.835208087,12.0000289,0.002336162,0,-0.081791956,,,
-46.00017094,4.834098169,12.00001907,0.001923723,0,-0.08155736,,,
-47.00017092,4.832986081,12.00000989,0.001476579,0,-0.081187901,,,
-48.000171,4.831871686,12.00000209,0.001006103,0,-0.080744625,,,
-49.0001711,4.830754849,11.9999964,0.00052367,0,-0.080288579,,,
-50.00017114,4.829635432,11.99999354,4.06524E-05,0,-0.07988081,,,
-51.00017107,4.828513378,11.99999406,-0.00043287,0,-0.079573534,,,
-52.00017086,4.827388956,11.99999765,-0.000892245,0,-0.079381929,,,
-53.00017053,4.82626252,12.00000382,-0.001334247,0,-0.079311465,,,
-54.00017006,4.825134426,12.00001204,-0.001755646,0,-0.079367611,,,
-55.00016945,4.824005027,12.00002182,-0.002153214,0,-0.079555837,,,
-56.00016871,4.822874678,12.00003265,-0.002523724,0,-0.079881614,,,
-57.00016784,4.821743735,12.00004401,-0.002863946,0,-0.080350412,,,
-58.00016683,4.820612552,12.00005539,-0.003170653,0,-0.080967699,,,
-59.00016568,4.819481484,12.0000663,-0.003440616,0,-0.081738946,,,
-60.0001644,4.818350885,12.00007621,-0.003670607,0,-0.082669624,,,
-61.00016298,4.817221063,12.00008473,-0.003858821,0,-0.083759425,,,
-62.00016146,4.816092124,12.0000919,-0.004009457,0,-0.084983674,,,
-63.00015987,4.814964122,12.00009788,-0.004128299,0,-0.08631127,,,
-64.00015823,4.813837111,12.00010285,-0.00422113,0,-0.087711112,,,
-65.00015658,4.812711144,12.00010696,-0.004293735,0,-0.089152099,,,
-66.00015496,4.811586275,12.00011038,-0.004351896,0,-0.09060313,,,
-67.00015339,4.810462558,12.00011327,-0.004401397,0,-0.092033104,,,
-68.00015191,4.809340046,12.0001158,-0.004448022,0,-0.09341092,,,
-69.00015054,4.808218794,12.00011814,-0.004497554,0,-0.094705476,,,
-70.00014933,4.807098854,12.00012044,-0.004555777,0,-0.095885671,,,
-71.00014829,4.805980326,12.00012281,-0.004626774,0,-0.096931756,,,
-72.00014737,4.804863497,12.00012514,-0.00470743,0,-0.097872092,,,
-73.00014652,4.803748705,12.00012724,-0.004792717,0,-0.098747785,,,
-74.00014568,4.802636288,12.00012892,-0.004877611,0,-0.09959994,,,
-75.00014479,4.801526584,12.00013001,-0.004957087,0,-0.100469665,,,
-76.0001438,4.800419931,12.00013031,-0.005026118,0,-0.101398065,,,
-77.00014263,4.799316667,12.00012965,-0.005079681,0,-0.102426245,,,
-78.00014125,4.798217129,12.00012784,-0.005112748,0,-0.103595312,,,
-79.00013957,4.797121657,12.00012469,-0.005120295,0,-0.104946373,,,
-80.00013756,4.796030588,12.00012003,-0.005097297,0,-0.106520532,,,
-81.00013517,4.794944172,12.00011377,-0.005040723,0,-0.10834402,,,
-82.00013245,4.79386229,12.00010628,-0.004956035,0,-0.110379817,,,
-83.0001295,4.792784725,12.00009804,-0.004850947,0,-0.112574092,,,
-84.00012639,4.791711258,12.00008953,-0.004733175,0,-0.114873012,,,
-85.00012321,4.790641671,12.00008124,-0.004610434,0,-0.117222748,,,
-86.00012004,4.789575747,12.00007366,-0.004490439,0,-0.119569468,,,
-87.00011696,4.788513266,12.00006725,-0.004380907,0,-0.121859341,,,
-88.00011406,4.787454012,12.00006251,-0.004289553,0,-0.124038536,,,
-89.00011141,4.786397766,12.00005992,-0.004224091,0,-0.126053222,,,
-90.0001091,4.785344311,12.00005996,-0.004192238,0,-0.127849567,,,
-91.0001072,4.784293629,12.00006296,-0.004199638,0,-0.129389929,,,
-92.00010564,4.783246561,12.00006862,-0.004243125,0,-0.130705596,,,
-93.00010438,4.782204175,12.00007646,-0.004317184,0,-0.131846202,,,
-94.00010332,4.781167539,12.000086,-0.004416303,0,-0.13286138,,,
